chr	start	end	ATAC	CTCF	REST	EP300
chr6	60000	60200	U	U	U	U
chr6	60200	60400	U	U	U	U
chr6	61000	61200	U	U	U	U
chr6	77400	77600	U	U	U	U
chr6	77600	77800	U	U	U	U
chr6	78000	78200	U	U	U	U
chr6	78200	78400	U	U	U	U
chr6	78400	78600	U	U	U	U
chr6	78600	78800	U	U	U	U
chr6	95000	95200	U	U	U	U
chr6	95200	95400	U	U	U	U
chr6	95400	95600	U	U	U	U
chr6	95600	95800	U	U	U	U
chr6	95800	96000	U	U	U	U
chr6	102600	102800	U	U	U	U
chr6	103000	103200	U	U	U	U
chr6	104800	105000	U	U	U	U
chr6	105800	106000	U	U	U	U
chr6	106000	106200	U	U	U	U
chr6	106200	106400	U	U	U	U
chr6	106400	106600	U	U	U	U
chr6	106600	106800	U	U	U	U
chr6	106800	107000	U	U	U	U
chr6	107000	107200	U	U	U	U
chr6	107200	107400	U	U	U	U
chr6	107400	107600	U	U	U	U
chr6	107600	107800	U	U	U	U
chr6	107800	108000	U	U	U	U
chr6	108000	108200	U	U	U	U
chr6	108200	108400	U	U	U	U
chr6	108400	108600	U	U	U	U
chr6	109000	109200	U	U	U	U
chr6	109200	109400	U	U	U	U
chr6	109400	109600	U	U	U	U
chr6	109600	109800	U	U	U	U
chr6	109800	110000	U	U	U	U
chr6	110400	110600	U	U	U	U
chr6	111600	111800	U	U	U	U
chr6	111800	112000	U	U	U	U
chr6	112000	112200	U	U	U	U
chr6	112400	112600	U	U	U	U
chr6	112600	112800	U	U	U	U
chr6	112800	113000	U	U	U	U
chr6	113000	113200	U	U	U	U
chr6	113800	114000	U	U	U	U
chr6	114000	114200	U	U	U	U
chr6	114200	114400	U	U	U	U
chr6	114400	114600	U	U	U	U
chr6	114600	114800	U	U	U	U
chr6	115200	115400	U	U	U	U
chr6	115400	115600	U	U	U	U
chr6	115600	115800	U	U	U	U
chr6	115800	116000	U	U	U	U
chr6	117000	117200	U	U	U	U
chr6	118200	118400	U	U	U	U
chr6	122800	123000	U	U	U	U
chr6	123800	124000	U	U	U	U
chr6	124000	124200	U	U	U	U
chr6	124200	124400	U	U	U	U
chr6	124400	124600	U	U	U	U
chr6	124600	124800	U	U	U	U
chr6	125800	126000	U	U	U	U
chr6	126000	126200	U	U	U	U
chr6	130400	130600	U	U	U	U
chr6	131200	131400	U	U	U	U
chr6	131400	131600	U	U	U	U
chr6	131600	131800	U	U	U	U
chr6	131800	132000	U	U	U	U
chr6	133000	133200	U	U	U	U
chr6	133200	133400	U	U	U	U
chr6	133400	133600	U	U	U	U
chr6	133600	133800	U	U	U	U
chr6	133800	134000	U	U	U	U
chr6	134000	134200	U	U	U	U
chr6	136200	136400	U	U	U	U
chr6	136400	136600	U	U	U	U
chr6	136600	136800	U	U	U	U
chr6	138200	138400	U	U	U	U
chr6	138400	138600	U	U	U	U
chr6	139200	139400	U	U	U	U
chr6	139400	139600	U	U	U	U
chr6	140200	140400	U	U	U	U
chr6	142200	142400	U	U	U	U
chr6	142400	142600	U	U	U	U
chr6	142600	142800	U	U	U	U
chr6	142800	143000	U	U	U	U
chr6	143000	143200	U	U	U	U
chr6	143200	143400	U	U	U	U
chr6	143400	143600	U	U	U	U
chr6	143600	143800	U	U	U	U
chr6	143800	144000	U	U	U	U
chr6	144000	144200	U	U	U	U
chr6	144200	144400	U	U	U	U
chr6	144400	144600	U	U	U	U
chr6	144600	144800	U	U	U	U
chr6	145000	145200	U	U	U	U
chr6	145600	145800	U	U	U	U
chr6	145800	146000	U	U	U	U
chr6	146000	146200	U	U	U	U
chr6	146200	146400	U	U	U	U
chr6	146400	146600	U	U	U	U
chr6	146600	146800	U	U	U	U
chr6	151600	151800	U	U	U	U
chr6	151800	152000	U	U	U	U
chr6	152000	152200	U	U	U	U
chr6	152200	152400	U	U	U	U
chr6	152400	152600	U	U	U	U
chr6	152600	152800	U	U	U	U
chr6	152800	153000	U	U	U	U
chr6	153000	153200	U	U	U	U
chr6	153200	153400	U	U	U	U
chr6	154200	154400	U	U	U	U
chr6	154400	154600	U	U	U	U
chr6	155000	155200	U	U	U	U
chr6	155200	155400	U	U	U	U
chr6	155800	156000	U	U	U	U
chr6	156000	156200	U	U	U	U
chr6	156200	156400	U	U	U	U
chr6	156600	156800	U	U	U	U
chr6	156800	157000	U	U	U	U
chr6	157000	157200	U	U	U	U
chr6	157200	157400	U	B	U	U
chr6	157400	157600	U	B	U	U
chr6	157600	157800	U	U	U	U
chr6	157800	158000	U	U	U	U
chr6	158000	158200	U	U	U	U
chr6	158200	158400	U	U	U	U
chr6	158400	158600	U	U	U	U
chr6	158600	158800	U	U	U	U
chr6	164400	164600	U	U	U	U
chr6	164600	164800	U	U	U	U
chr6	164800	165000	U	U	U	U
chr6	166000	166200	U	U	U	U
chr6	166200	166400	U	U	U	U
chr6	167400	167600	U	U	U	U
chr6	167600	167800	U	U	U	U
chr6	167800	168000	U	U	U	U
chr6	168800	169000	B	B	B	U
chr6	169000	169200	B	B	B	U
chr6	169200	169400	U	U	B	U
chr6	169400	169600	U	U	U	U
chr6	169600	169800	U	U	U	U
chr6	169800	170000	U	U	U	U
chr6	170000	170200	U	U	U	U
chr6	170200	170400	U	U	U	U
chr6	170400	170600	U	U	U	U
chr6	170600	170800	U	U	U	U
chr6	170800	171000	U	U	U	U
chr6	174800	175000	U	U	U	U
chr6	176600	176800	U	U	U	U
chr6	176800	177000	U	U	U	U
chr6	178200	178400	U	U	U	U
chr6	181400	181600	U	U	U	U
chr6	181600	181800	U	U	U	U
chr6	183200	183400	U	U	U	U
chr6	183400	183600	U	U	U	U
chr6	183600	183800	U	U	U	U
chr6	183800	184000	U	U	U	U
chr6	184000	184200	U	U	U	U
chr6	184200	184400	U	U	U	U
chr6	184400	184600	U	U	U	U
chr6	184600	184800	U	U	U	U
chr6	184800	185000	U	U	U	U
chr6	186200	186400	U	U	U	U
chr6	186800	187000	U	U	U	U
chr6	187800	188000	U	U	U	U
chr6	188000	188200	U	U	U	U
