chr	start	end	ATAC	CTCF	REST	EP300
chr13	18171400	18171600	U	U	U	U
chr13	18171600	18171800	U	U	U	U
chr13	18171800	18172000	U	U	U	U
chr13	18172000	18172200	U	U	U	U
chr13	18172200	18172400	U	U	U	U
chr13	18173000	18173200	U	U	U	U
chr13	18173200	18173400	U	U	U	U
chr13	18174000	18174200	U	U	U	U
chr13	18174200	18174400	U	U	U	U
chr13	18175000	18175200	U	U	U	U
chr13	18175200	18175400	U	U	U	U
chr13	18175400	18175600	U	U	U	U
chr13	18175600	18175800	U	U	U	U
chr13	18176000	18176200	U	U	U	U
chr13	18176200	18176400	U	U	U	U
chr13	18176800	18177000	U	U	U	U
chr13	18177000	18177200	U	U	U	U
chr13	18177400	18177600	U	U	U	U
chr13	18177600	18177800	U	U	U	U
chr13	18177800	18178000	U	U	U	U
chr13	18178000	18178200	U	U	U	U
chr13	18178200	18178400	U	U	U	U
chr13	18178400	18178600	U	U	U	U
chr13	18178600	18178800	U	U	U	U
chr13	18178800	18179000	U	U	U	U
chr13	18179000	18179200	U	U	U	U
chr13	18179200	18179400	U	U	U	U
chr13	18179600	18179800	U	U	U	U
chr13	18179800	18180000	U	U	U	U
chr13	18180400	18180600	U	U	U	U
chr13	18181400	18181600	U	U	U	U
chr13	18181600	18181800	U	U	U	U
chr13	18181800	18182000	U	U	U	U
chr13	18190000	18190200	U	U	U	U
chr13	18190200	18190400	U	U	U	U
chr13	18190400	18190600	U	U	U	U
chr13	18190600	18190800	U	U	U	U
chr13	18190800	18191000	U	U	U	U
chr13	18191400	18191600	U	U	U	U
chr13	18192200	18192400	U	U	U	U
chr13	18192400	18192600	U	U	U	U
chr13	18192600	18192800	U	U	U	U
chr13	18192800	18193000	U	U	U	U
chr13	18194000	18194200	U	U	U	U
chr13	18194200	18194400	U	U	U	U
chr13	18194400	18194600	U	U	U	U
chr13	18194600	18194800	B	U	U	U
chr13	18194800	18195000	B	U	U	U
chr13	18195000	18195200	B	U	U	U
chr13	18195200	18195400	B	U	U	U
chr13	18195400	18195600	B	U	U	U
chr13	18200800	18201000	U	U	U	U
chr13	18201800	18202000	U	U	U	U
chr13	18202000	18202200	U	U	U	U
chr13	18202400	18202600	U	U	U	U
chr13	18205600	18205800	U	U	U	U
chr13	18206400	18206600	U	U	U	U
chr13	18206600	18206800	U	U	U	U
chr13	18206800	18207000	U	U	U	U
chr13	18207000	18207200	U	U	U	U
chr13	18207200	18207400	U	U	U	U
chr13	18215800	18216000	U	U	U	U
chr13	18216000	18216200	U	U	U	U
chr13	18216200	18216400	U	U	U	U
chr13	18217400	18217600	U	U	U	U
chr13	18217600	18217800	U	U	U	U
chr13	18218600	18218800	U	U	U	U
chr13	18218800	18219000	U	U	U	U
chr13	18219000	18219200	U	U	U	U
chr13	18219200	18219400	U	U	U	U
