chr	start	end	ATAC	CTCF	REST	EP300
chr4	21200	21400	U	U	U	U
chr4	21400	21600	U	U	U	U
chr4	21600	21800	U	U	U	U
chr4	21800	22000	U	U	U	U
chr4	22600	22800	U	U	U	U
chr4	22800	23000	U	U	U	U
chr4	24000	24200	U	U	U	U
chr4	24200	24400	U	U	U	U
chr4	24400	24600	U	U	U	U
chr4	24600	24800	U	U	U	U
chr4	24800	25000	U	U	U	U
chr4	25000	25200	U	U	U	U
chr4	25200	25400	U	U	U	U
chr4	25400	25600	U	U	U	U
chr4	26400	26600	U	U	U	U
chr4	27200	27400	U	U	U	U
chr4	27400	27600	U	U	U	U
chr4	27600	27800	U	U	U	U
chr4	27800	28000	U	U	U	U
chr4	28000	28200	U	U	U	U
chr4	28200	28400	U	U	U	U
chr4	28600	28800	U	U	U	U
chr4	28800	29000	U	U	U	U
chr4	29000	29200	B	U	U	U
chr4	29200	29400	B	U	U	U
chr4	29400	29600	B	U	U	U
chr4	29600	29800	U	U	U	U
chr4	32000	32200	U	U	U	U
chr4	32200	32400	U	U	U	U
chr4	32400	32600	U	U	U	U
chr4	32600	32800	U	U	U	U
chr4	32800	33000	U	U	U	U
chr4	33000	33200	U	U	U	U
chr4	33600	33800	U	U	U	U
chr4	33800	34000	U	U	U	U
chr4	34000	34200	U	U	U	U
chr4	36000	36200	U	U	U	U
chr4	36200	36400	U	U	U	U
chr4	36400	36600	U	U	U	U
chr4	36600	36800	U	U	U	U
chr4	43400	43600	U	U	U	U
chr4	43600	43800	U	U	U	U
chr4	43800	44000	U	U	U	U
chr4	45000	45200	U	U	U	U
chr4	45200	45400	U	U	U	U
chr4	46600	46800	U	U	U	U
chr4	47800	48000	B	U	U	U
chr4	48000	48200	B	U	U	U
chr4	48600	48800	U	U	U	U
chr4	49200	49400	U	U	U	U
chr4	49400	49600	U	U	U	U
chr4	49600	49800	U	U	U	U
chr4	49800	50000	U	U	U	U
chr4	53200	53400	B	U	U	U
chr4	53400	53600	B	U	U	U
chr4	54400	54600	B	U	U	U
chr4	54600	54800	B	U	U	U
chr4	57000	57200	U	U	U	U
chr4	57200	57400	U	U	U	U
chr4	57800	58000	U	U	U	U
chr4	58000	58200	U	U	U	U
chr4	58200	58400	U	U	U	U
chr4	59000	59200	B	U	U	U
chr4	59200	59400	B	U	U	U
chr4	59400	59600	U	U	U	U
chr4	59600	59800	U	U	U	U
chr4	59800	60000	U	U	U	U
chr4	60000	60200	U	U	U	U
chr4	60200	60400	U	U	U	U
chr4	60400	60600	U	U	U	U
chr4	71400	71600	U	U	U	U
chr4	71600	71800	U	U	U	U
chr4	71800	72000	U	U	U	U
chr4	72200	72400	U	U	U	U
chr4	72400	72600	U	U	U	U
chr4	72600	72800	U	U	U	U
chr4	72800	73000	U	U	U	U
chr4	78400	78600	U	U	U	U
chr4	81200	81400	U	U	U	U
chr4	84800	85000	U	U	U	U
chr4	85000	85200	U	U	U	U
chr4	88200	88400	U	U	U	U
chr4	88400	88600	U	U	U	U
chr4	88600	88800	U	U	U	U
chr4	88800	89000	U	U	U	U
chr4	89000	89200	U	U	U	U
chr4	89200	89400	U	U	U	U
chr4	91400	91600	U	U	U	U
chr4	91600	91800	U	U	U	U
chr4	94400	94600	U	U	U	U
chr4	103000	103200	U	U	U	U
chr4	103200	103400	U	U	U	U
chr4	103400	103600	U	U	U	U
chr4	103600	103800	U	U	U	U
chr4	104200	104400	U	U	U	U
chr4	104600	104800	U	U	U	U
chr4	105000	105200	U	U	U	U
chr4	105200	105400	U	U	U	U
chr4	105600	105800	U	U	U	U
chr4	105800	106000	U	U	U	U
chr4	106000	106200	U	U	U	U
chr4	106200	106400	U	U	U	U
chr4	106400	106600	U	U	U	U
chr4	106600	106800	U	U	U	U
chr4	106800	107000	U	U	U	U
chr4	107000	107200	U	U	U	U
chr4	107200	107400	U	U	U	U
chr4	107400	107600	U	U	U	U
chr4	107800	108000	U	U	U	U
chr4	108000	108200	U	U	U	U
chr4	108400	108600	U	U	U	U
chr4	109600	109800	U	U	U	U
chr4	109800	110000	U	U	U	U
chr4	110200	110400	U	U	U	U
chr4	111600	111800	U	U	U	U
chr4	111800	112000	U	U	U	U
chr4	112000	112200	U	U	U	U
chr4	113000	113200	U	U	U	U
chr4	116800	117000	U	U	U	U
chr4	117000	117200	U	U	U	U
chr4	117200	117400	U	U	U	U
chr4	117400	117600	U	U	U	U
chr4	117600	117800	U	U	U	U
chr4	118000	118200	U	U	U	U
chr4	124400	124600	B	U	U	U
chr4	124600	124800	B	U	U	U
chr4	125600	125800	B	U	U	U
chr4	125800	126000	B	U	U	U
chr4	126000	126200	B	U	U	U
chr4	128200	128400	U	U	U	U
chr4	128400	128600	U	U	U	U
chr4	128600	128800	U	U	U	U
chr4	129000	129200	U	U	U	U
chr4	129200	129400	U	U	U	U
chr4	129400	129600	U	U	U	U
chr4	129600	129800	U	U	U	U
chr4	129800	130000	U	U	U	U
chr4	130800	131000	U	U	U	U
chr4	131000	131200	U	U	U	U
chr4	131200	131400	U	U	U	U
chr4	132400	132600	U	U	U	U
chr4	132600	132800	U	U	U	U
chr4	149200	149400	U	U	U	U
chr4	149400	149600	U	U	U	U
chr4	149600	149800	U	U	U	U
chr4	156200	156400	U	U	U	U
chr4	160000	160200	U	U	U	U
chr4	160200	160400	U	U	U	U
chr4	161000	161200	U	U	U	U
chr4	162200	162400	U	U	U	U
chr4	162400	162600	U	U	U	U
chr4	162600	162800	U	U	U	U
chr4	162800	163000	U	U	U	U
chr4	163600	163800	U	U	U	U
chr4	164200	164400	U	U	U	U
chr4	164400	164600	U	U	U	U
chr4	164600	164800	U	U	U	U
chr4	164800	165000	U	U	U	U
chr4	165000	165200	U	U	U	U
chr4	165200	165400	U	U	U	U
chr4	173200	173400	U	U	U	U
chr4	175600	175800	U	U	U	U
chr4	176200	176400	U	U	U	U
chr4	176400	176600	U	U	U	U
chr4	176600	176800	U	U	U	U
chr4	176800	177000	U	U	U	U
chr4	179600	179800	U	U	U	U
chr4	180200	180400	U	U	U	U
chr4	180400	180600	U	U	U	U
chr4	197600	197800	U	U	U	U
chr4	198000	198200	U	U	U	U
chr4	198200	198400	U	U	U	U
chr4	198400	198600	U	U	U	U
chr4	198600	198800	U	U	U	U
chr4	199600	199800	U	U	U	U
chr4	199800	200000	U	U	U	U
chr4	200000	200200	U	U	U	U
chr4	200600	200800	U	U	U	U
chr4	200800	201000	U	U	U	U
chr4	201000	201200	U	U	U	U
chr4	201200	201400	U	U	U	U
chr4	201400	201600	U	U	U	U
chr4	201600	201800	U	U	U	U
chr4	204800	205000	U	U	U	U
chr4	205000	205200	U	U	U	U
chr4	205200	205400	U	U	U	U
chr4	205400	205600	U	U	U	U
chr4	205800	206000	U	U	U	U
chr4	206600	206800	U	U	U	U
chr4	207200	207400	U	U	U	U
chr4	208800	209000	U	U	U	U
chr4	209000	209200	U	U	U	U
chr4	209200	209400	U	U	U	U
chr4	210400	210600	U	U	U	U
chr4	212600	212800	B	U	U	U
chr4	213800	214000	U	U	U	U
chr4	214000	214200	U	U	U	U
chr4	216000	216200	U	U	U	U
chr4	216200	216400	U	U	U	U
chr4	216400	216600	U	U	U	U
chr4	216600	216800	U	U	U	U
chr4	216800	217000	U	U	U	U
chr4	217000	217200	U	U	U	U
chr4	217200	217400	U	U	U	U
chr4	217400	217600	U	U	U	U
chr4	217600	217800	U	U	U	U
chr4	217800	218000	U	U	U	U
chr4	218000	218200	U	U	U	U
chr4	218800	219000	U	U	U	U
chr4	219000	219200	U	U	U	U
chr4	219200	219400	U	U	U	U
chr4	220000	220200	U	U	U	U
chr4	227600	227800	U	U	U	U
chr4	231000	231200	U	U	U	U
chr4	232000	232200	U	U	U	U
chr4	232200	232400	U	U	U	U
chr4	232400	232600	U	U	U	U
chr4	232600	232800	U	U	U	U
chr4	234400	234600	U	U	U	U
chr4	234600	234800	U	U	U	U
chr4	234800	235000	U	U	U	U
chr4	240000	240200	U	U	U	U
chr4	249600	249800	U	U	U	U
chr4	252600	252800	U	U	U	U
chr4	253600	253800	U	U	U	U
