chr	start	end	ATAC
chr3	12200	12400	U
chr3	12400	12600	U
chr3	13400	13600	U
chr3	13600	13800	U
chr3	13800	14000	U
chr3	14000	14200	U
chr3	14400	14600	U
chr3	14600	14800	U
chr3	14800	15000	U
chr3	15000	15200	U
chr3	15600	15800	U
chr3	16000	16200	U
chr3	16200	16400	U
chr3	17400	17600	U
chr3	17600	17800	U
chr3	17800	18000	U
chr3	18000	18200	U
chr3	18200	18400	U
chr3	18400	18600	U
chr3	18600	18800	U
chr3	19600	19800	U
chr3	19800	20000	U
chr3	20000	20200	U
chr3	20200	20400	U
chr3	20400	20600	U
chr3	20600	20800	U
chr3	21600	21800	U
chr3	21800	22000	U
chr3	24400	24600	U
chr3	24600	24800	U
chr3	24800	25000	U
chr3	25000	25200	U
chr3	27000	27200	U
chr3	27200	27400	U
chr3	27400	27600	U
chr3	27600	27800	U
chr3	29600	29800	U
chr3	30000	30200	U
chr3	30600	30800	U
chr3	30800	31000	U
chr3	31000	31200	U
chr3	31200	31400	U
chr3	31400	31600	U
chr3	31600	31800	U
chr3	31800	32000	U
chr3	32000	32200	U
chr3	32200	32400	U
chr3	32400	32600	U
chr3	33200	33400	U
chr3	35600	35800	U
chr3	35800	36000	U
chr3	36000	36200	U
chr3	36200	36400	U
chr3	36400	36600	U
chr3	40200	40400	U
chr3	42600	42800	U
chr3	43000	43200	U
chr3	43200	43400	U
chr3	43400	43600	U
chr3	43600	43800	U
chr3	44400	44600	U
chr3	44600	44800	U
chr3	44800	45000	U
chr3	45000	45200	U
chr3	45200	45400	U
chr3	45400	45600	U
chr3	45600	45800	U
chr3	45800	46000	U
chr3	46000	46200	U
chr3	46200	46400	U
chr3	46400	46600	U
chr3	46600	46800	U
chr3	46800	47000	U
chr3	47000	47200	U
chr3	47200	47400	U
chr3	47400	47600	U
chr3	48000	48200	U
chr3	48200	48400	U
chr3	49000	49200	U
chr3	49200	49400	U
chr3	50600	50800	U
chr3	50800	51000	U
chr3	52200	52400	U
chr3	52400	52600	U
chr3	52600	52800	U
chr3	52800	53000	U
chr3	53000	53200	U
chr3	53400	53600	U
chr3	53600	53800	U
chr3	53800	54000	U
chr3	55200	55400	U
chr3	55400	55600	U
chr3	55600	55800	U
chr3	56000	56200	U
chr3	56200	56400	U
chr3	56800	57000	U
chr3	57000	57200	U
chr3	59400	59600	U
chr3	59600	59800	U
chr3	63000	63200	U
chr3	63200	63400	U
chr3	63400	63600	U
chr3	63600	63800	U
chr3	63800	64000	U
chr3	64400	64600	U
chr3	64600	64800	U
chr3	64800	65000	U
chr3	65000	65200	U
chr3	66200	66400	U
chr3	66400	66600	U
chr3	67200	67400	U
chr3	67400	67600	U
chr3	68400	68600	U
chr3	68600	68800	U
chr3	69400	69600	U
chr3	69600	69800	U
chr3	69800	70000	U
chr3	70000	70200	U
chr3	72000	72200	U
chr3	72200	72400	U
chr3	72800	73000	U
chr3	73200	73400	U
chr3	73400	73600	U
chr3	73600	73800	U
chr3	73800	74000	U
chr3	75600	75800	U
chr3	75800	76000	U
chr3	76000	76200	U
chr3	77400	77600	U
chr3	78800	79000	U
chr3	79000	79200	U
chr3	81800	82000	U
chr3	82000	82200	U
chr3	82200	82400	U
chr3	83400	83600	U
chr3	85000	85200	U
chr3	85200	85400	U
chr3	85400	85600	U
chr3	85600	85800	U
chr3	85800	86000	U
chr3	86000	86200	U
chr3	86600	86800	U
chr3	88400	88600	U
chr3	88600	88800	U
chr3	88800	89000	U
chr3	89000	89200	U
chr3	90800	91000	U
chr3	91000	91200	U
chr3	91200	91400	U
chr3	91600	91800	U
chr3	93000	93200	U
chr3	93200	93400	U
chr3	93400	93600	U
chr3	93600	93800	U
chr3	93800	94000	U
chr3	94400	94600	U
chr3	95800	96000	U
chr3	96000	96200	U
chr3	96200	96400	U
chr3	96400	96600	U
chr3	96800	97000	U
chr3	97600	97800	U
chr3	97800	98000	U
chr3	98000	98200	U
chr3	98200	98400	U
chr3	98400	98600	U
chr3	98600	98800	U
chr3	98800	99000	U
chr3	99000	99200	U
chr3	99200	99400	U
chr3	99400	99600	U
chr3	99600	99800	U
chr3	99800	100000	U
chr3	100200	100400	U
chr3	100400	100600	U
chr3	101200	101400	U
chr3	101400	101600	U
chr3	104200	104400	U
chr3	104400	104600	U
chr3	104600	104800	U
chr3	104800	105000	U
chr3	105000	105200	U
chr3	105200	105400	U
chr3	105400	105600	U
chr3	105600	105800	U
chr3	107000	107200	U
chr3	107200	107400	U
chr3	107400	107600	U
chr3	107600	107800	U
chr3	107800	108000	U
chr3	108000	108200	U
chr3	109400	109600	U
chr3	110000	110200	U
chr3	110200	110400	U
chr3	110400	110600	U
chr3	110600	110800	U
chr3	110800	111000	U
chr3	111800	112000	U
chr3	112600	112800	U
chr3	114600	114800	U
chr3	115600	115800	U
chr3	115800	116000	U
chr3	117400	117600	U
chr3	117600	117800	U
chr3	117800	118000	U
chr3	120600	120800	U
chr3	120800	121000	U
chr3	121000	121200	U
chr3	121200	121400	U
chr3	121400	121600	U
chr3	121600	121800	U
chr3	122000	122200	U
chr3	122800	123000	U
chr3	123000	123200	U
chr3	123200	123400	U
chr3	123400	123600	U
chr3	123600	123800	U
chr3	124200	124400	U
chr3	124400	124600	U
chr3	124800	125000	U
chr3	129200	129400	U
chr3	129600	129800	U
chr3	130800	131000	U
chr3	131000	131200	U
chr3	131200	131400	U
chr3	131400	131600	U
chr3	131600	131800	U
chr3	131800	132000	U
chr3	132000	132200	U
chr3	132200	132400	U
chr3	132400	132600	U
chr3	136800	137000	U
chr3	137000	137200	U
chr3	139800	140000	U
chr3	140600	140800	U
chr3	140800	141000	U
chr3	141000	141200	U
chr3	141200	141400	U
chr3	141400	141600	U
chr3	141600	141800	U
chr3	143200	143400	U
chr3	143600	143800	U
chr3	143800	144000	U
chr3	144400	144600	U
chr3	145200	145400	U
chr3	145400	145600	U
chr3	145600	145800	U
chr3	145800	146000	U
chr3	146600	146800	U
chr3	146800	147000	U
chr3	148000	148200	U
chr3	148200	148400	U
chr3	148400	148600	U
chr3	148600	148800	U
chr3	149200	149400	U
chr3	149400	149600	U
chr3	152800	153000	U
chr3	153000	153200	U
chr3	153200	153400	U
chr3	153400	153600	U
chr3	153600	153800	U
chr3	153800	154000	U
chr3	155000	155200	U
chr3	155200	155400	U
chr3	157800	158000	U
chr3	158200	158400	U
chr3	158400	158600	U
chr3	158600	158800	U
chr3	159200	159400	U
chr3	159400	159600	U
chr3	160200	160400	U
chr3	160400	160600	U
chr3	161000	161200	U
chr3	161200	161400	U
chr3	162400	162600	U
chr3	163800	164000	U
chr3	166200	166400	U
chr3	166400	166600	U
chr3	166600	166800	U
chr3	167200	167400	U
chr3	167400	167600	U
chr3	168200	168400	U
chr3	168400	168600	U
chr3	169600	169800	U
chr3	169800	170000	U
chr3	170000	170200	U
chr3	170600	170800	U
chr3	170800	171000	U
chr3	172400	172600	U
chr3	172600	172800	U
chr3	173000	173200	U
chr3	173800	174000	U
chr3	174000	174200	U
chr3	174200	174400	U
chr3	174400	174600	U
chr3	174600	174800	U
chr3	174800	175000	U
chr3	175000	175200	U
chr3	175200	175400	U
chr3	175400	175600	U
chr3	175600	175800	U
chr3	175800	176000	U
chr3	176000	176200	U
chr3	177000	177200	U
chr3	178000	178200	U
chr3	178800	179000	U
chr3	181600	181800	U
chr3	182400	182600	U
chr3	183000	183200	U
chr3	183200	183400	U
chr3	183400	183600	U
chr3	183600	183800	U
chr3	183800	184000	U
chr3	184200	184400	U
chr3	184400	184600	U
chr3	184800	185000	U
chr3	185000	185200	U
chr3	185200	185400	U
chr3	185400	185600	U
chr3	185600	185800	U
chr3	185800	186000	U
chr3	186000	186200	U
chr3	186200	186400	U
chr3	186400	186600	U
chr3	189600	189800	U
chr3	190600	190800	U
chr3	190800	191000	U
chr3	191000	191200	U
chr3	192200	192400	U
chr3	193000	193200	U
chr3	194200	194400	U
chr3	194400	194600	U
chr3	194600	194800	U
chr3	195000	195200	U
chr3	195400	195600	U
chr3	195600	195800	U
chr3	196000	196200	U
chr3	196200	196400	U
chr3	196400	196600	U
chr3	196600	196800	U
chr3	196800	197000	U
chr3	197000	197200	U
chr3	197200	197400	U
chr3	197400	197600	U
chr3	197600	197800	U
chr3	197800	198000	U
chr3	198000	198200	U
chr3	198800	199000	U
chr3	199000	199200	U
chr3	199200	199400	U
chr3	199400	199600	U
chr3	199600	199800	U
chr3	199800	200000	U
chr3	200000	200200	U
chr3	200200	200400	U
chr3	200400	200600	U
chr3	200600	200800	U
chr3	200800	201000	U
chr3	201000	201200	U
chr3	201200	201400	U
chr3	201600	201800	U
chr3	204000	204200	U
chr3	204200	204400	U
chr3	204400	204600	U
chr3	204600	204800	U
chr3	206800	207000	U
chr3	207000	207200	U
chr3	207200	207400	U
chr3	207400	207600	U
chr3	207600	207800	U
chr3	207800	208000	U
chr3	208400	208600	U
chr3	208600	208800	U
chr3	208800	209000	U
